bin,obs,exp
287,1,0.00032441200324412
288,0,1.67132555295576
290,0,2.10202606095333
292,3,1.74856350293705
293,1,0.00212626758259732
294,1,2.6329729872541
296,3,2.52954548728929
297,3,0.0132220251723588
298,0,2.45407297346174
300,0,1.73273995579893
301,1,0.000801025312399872
302,3,0.822327779106171
304,1,0.969331046186368
306,0,0.478921134298622
307,1,0.00489759572573464
308,0,0.439359399818678
310,0,0.146580033892215
311,1,0.00389800227383466
312,0,0.090281742348689
314,0,0.186487624532548
316,0,0.411949695890068
318,0,0.497179817807338
320,0,0.0858707353984782
321,1,0.00869565217391304
322,0,0.0072524605332202
324,0,0.0290098421328808
326,0,0.122583187299763
328,0,0.0471409934659313
330,0,0.0217573815996606
332,0,0.0543934539991515
334,0,0.0942819869318626
336,0,0.0688983750655919
338,1,0.0350085516402976
340,0,0.0652721447989818
342,0,0.0616459145323717
344,1,0.138687222081317
346,0,0.185664301748455
348,0,0.0761508355988121
350,0,0.174059052797285
352,0,0.112413138264913
354,0,0.177685283063895
356,0,0.188563973863725
358,0,0.155927901464234
360,0,0.108786907998303
362,0,0.101534447465083
363,1,0.00535659626568717
364,1,0.221793166073418
366,0,0.278033490908574
368,0,0.322899991996755
370,0,0.271967269995758
372,0,0.293724651595418
374,0,0.246583658129487
376,0,0.141422980397794
378,0,0.224826276529826
380,0,0.126918059331354
382,0,0.0942819869318626
384,0,0.152301671197624
386,0,0.203068894930166
387,1,0.00133570792520036
388,0,0.322734493728299
390,0,0.359951610810609
392,0,0.268341039729147
393,1,0.0032139577594123
394,0,0.326360723994909
396,0,0.323559038742695
397,1,0.00107131925313743
398,0,0.253177071916768
399,1,0.00535659626568717
400,1,0.315482033195079
402,0,0.269824631489483
404,0,0.354383469172823
405,2,0.00642791551882461
406,0,0.344988370133328
408,0,0.33378162912447
410,0,0.24559656117452
412,0,0.117522960291858
414,0,0.109283402803671
416,0,0.0538999055216678
418,0,0.0349442091742217
420,0,0.0181311513330505
422,0,0.0108786907998303
424,0,0.0253836118662707
426,0,0.072524605332202
428,0,0.0323080221904632
430,0,0.0145049210664404
436,0,0.0181311513330505
