obs,exp
128,132
120.5,118
117.5,120
107,108
118,118
115.5,113
146.5,140
115.5,115
130,127
153.5,144
115.5,114
139.5,127
119.5,119
125,121
123.5,124
139.5,139
122.5,123
129,127
124,124
122,120
116,117
145,136
119,114
123.5,123
112,107
110.5,111
127.5,119
126.5,121
128,127
179,164
115.5,110
131.5,129
139.5,128
130,123
125.5,132
98,102
122,123
83.5,84
133.5,126
115.5,111
154,142
118,115
133.5,130
122,122
122,122
111.5,103
111,109
147.5,141
119,122
107,105
119.5,118
120.5,121
146,141
117.5,118
118,115
121,123
122,124
138,136
159,146
130,122
137.5,136
116.5,119
152,143
117.5,116
123,114
148,143
96.5,100.5
108.5,108
98,95
89.5,90
117,114
138,141
127.75,127
119,113
110.5,104
121.5,119
123,122
127,125
132.5,126
133,134
132.5,127
135.5,128
125,122
185,174
121,119
145,132
123,119
147.5,142
129,123
120.5,119
88.5,93
141.5,145
136.5,138
115.5,111
137.5,132
120.5,120
124,124
118.5,116
149.5,146
123.5,123
122,120
121.5,122
105.5,106
157.5,151
108.5,101
106.5,106
134,136
130.5,125
139.5,127
121.5,122
142.5,139
122.5,124
147.5,142
147.5,136
152.5,139
123,123
126,124
125,123
136.5,127
114.5,106
119,119
116.5,116
121,120
107,101
122.5,120
142,136
107.5,110
146,143
134.5,127
139.5,140
122,122
110,111
152.5,139
135,132
97,98
124,122
118.5,107
121.5,121
118.5,118
118.5,120
125,123
125.5,120
132.5,131
122,123
113,107
97.5,96
122,121
133.5,128
122,123
131.75,122
118.5,117
137,129
128,127
102.5,102
137,142
111.5,115
118.5,126
123,121
111,102
86.5,94
95,94
119.75,119
155.5,138
125,125
120,120
113,109
125.5,127
148,137
140.5,138
116,116
126.5,126
138,137
118,111
124,123
174.5,175
132.5,130
129,127
124,122
145.5,139
111.5,113
118,118
111.5,118
113,114
137.5,137
106.5,103
114.5,109
105,107
98,98
122.5,120
104.5,109
118.5,111
114,113
160.5,159
87.5,88
122.5,122
114,113
118,112
116.5,121
92.5,97
132,137
114.5,112
120.5,124
108.5,105
99.5,100
126.25,124
122.5,123
99.5,98
120,121
100.5,101
153,152
134.5,132
117,117
100.5,97
118.5,122
119.5,119
97,96
85,86
121.5,121
153,139
129.5,123
116,116
124.5,115
120,119
106.5,104
92.5,98
123,125
110.5,115
113.5,112
135.5,134
130.5,124
118,113
100.5,100
123,123
135.5,136
117,113
121.5,120
