obs,exp
124,123
138,136
109.5,111
129,124
117,119
154,157
136,127
142.5,137
108.5,103
159,143
137.5,143
124.5,123
102.5,108
112.5,109
122.5,122
124.5,124
122.5,126
114.5,117
123.5,123
141,134
103.5,107
112.5,116
128.5,127
130,131
131.5,130
120.5,123
132,127
119.5,118
122,111.5
113.5,109
102.5,101
99,115
145.5,131
122.5,124
119.5,122
132.5,138
148.5,141
114.5,107
119,121
123.5,123
138.5,136
126,124
122.5,118
121.5,120
123,118
160.5,144
114.5,119
115.5,108
147.5,128
118.5,117
119.5,121
126,125
136,130
106,107
135,127
118,113
114.5,108
148,136
124,126
115.5,113
159.5,159
114.5,116
133,133
127,127
124.5,125
123,119
116.5,111.5
128.5,134
100.5,101
121,123
117,123
113,118
122,122
126.5,118
123,124
131.5,120
133,128
120,122
126,118
122.5,125
123,123
119,119
130.25,125
134.5,135
114,108
165,161
120.5,120
119,118
122,121
99.5,99
130,124
120.5,117.5
134.5,127
122.5,121
121.5,122
129.5,128
98.5,93
97,96
117.5,117
135.5,131
139.5,137
117.5,118
135,136
116,121
123.5,122
115,114
118.5,120
113.5,118
152.5,144
155.5,151
131,124
113,112.5
113,115
123,124
122,123
121.5,123
126.5,126
115.5,107
109,111
120,118
118,118
136.5,134
122,121
91.5,96
129.5,126
98,98
103,101
107,111
133.75,126
131.5,131
110.5,108
121,122
124,123
122.5,122
120,118
121.5,120
112.5,104
128,125
117.5,116
141.5,134
140,137
115.5,111
130.5,123
136.5,122
162.5,149
119,117
123,122
122,122
131,123
127,123
120,119
130,128
116,115
124,125
130,125
147.5,135
120,118
116.5,119
139.5,132
153.5,154
93,92
114.5,112
125.5,125
119.5,118
157.5,159
119.5,118
160,160
102.5,103
130,129
103,103
122,119
124,122
130.5,126
121.5,123
134.5,134
118,116
149.5,134
120,121
121.5,125
119.5,118
129,124.5
132.5,124
132.5,130
130.5,128
131,131
119.5,121
138.5,140
168,160
135.5,134
114.75,115
136,131
123,124
118.5,119
133,134
122.5,123
99.5,98
120.5,121
103.5,103
129,123
117,116
134,134
129,123
142,136
122,117
118.5,120
132.5,127
122,121
139.5,137
119,114
122,123
119,120
114.75,117
124.5,126
126.5,125
104,103
155.5,137
112,106
109,108
118,121
113.5,104
125.5,123
124,121
128.5,124
119.5,120
123.5,126
107,107
141,137
114.5,116
152.5,142
137,126
105.5,107
125.5,123
123.5,125
114.5,112
120,112
121.5,123
121,121
118.5,115
153.5,159
132,135
122,122
106,102
136.5,130
141.5,138
114.5,114
153,147
105.5,106
143.5,134
124.5,126
121.5,121
139.5,134
119,115
121.5,124
111,104
112.5,106
170,167
111,113
116.5,117
119.5,119
94.5,100
132,121
114,118
137,130
118,111
123.5,124
102,102
133.75,127
131.5,127
119.5,123
122.5,123
103.75,103
118.5,116
107.5,106
116.5,115
106.5,105
113.5,113
147.5,141
120.5,121
115.5,114
113.5,114
158.5,155
136,132
108.5,106
121.5,122
147.5,139
121.5,122
113.5,115
109,110
130.5,137
120,113
126.5,130
114.5,115
124,123
133.25,125
139,139
112,111
117,115
130,121
113,108
107,102
122,123
112.5,112
118,119
142.5,130
120,122
102.5,100
158,151
131.75,123
124,126
126,122
134.5,136
118.5,118
124,114
125.5,124
114.5,103
136.5,140
107.5,106
138,134
148,140
118,120
124.5,126
139.5,137
155,136
123,124
168.5,159
129,128
125,124
115.5,124
159.5,144
124,124
122,124
120,119
120.5,117
118,121
135,130
107.5,110
124.5,134
117.5,111
130.5,128
143,145
140.5,133
135.5,134
121.5,122
132,133
166.25,162
116.5,113
122.5,119
126,122
118.5,121
125,123
111.5,112
124,127
112,115
154,151
87.5,86
120.5,120
118.5,120
124.5,124
115,110
139,135
121.5,122
119,120
96.5,100
119.5,114
117.5,114
121.5,123
109,108
169.5,174
108.5,110
117.5,119
104.5,102
130.5,124
145.75,149
112.5,112
123,120
122,119
127.5,121
118.5,112
122,123
133,127
158.5,145
116.5,119
157.5,155
125,127
130.5,125
121,110
139.5,143
127,126
138,138
112.5,101
119.5,116
104,104
112.5,108
129.5,127
137.5,128
117.5,115
171,157
145.5,143
129,132
123.5,124
139,146
132.5,126
119,121
152.5,155
114.5,106
119.5,118
119,119
122.5,123
109.5,107
123,129
112.5,112
131.5,134
150,144
148.5,137
117,117
111.5,105
126.5,123
118,105
124,120
128.5,125
131.5,127
132,134
123,127
116.5,102
116.5,118
126.5,123
150,133
115.5,115
119.5,121
132.5,129
125.5,123
130.5,126
112.5,113
113.5,109
121.5,124
128.5,130
144,138
126.5,123
93.5,98
135,133.5
100.5,96
103,103
137.5,138
146.5,140
117.5,120
123.5,126
120,122
100,99
122.5,123
144,139
122,121
140.5,134
139.5,136
158,149
129,127
117.5,116
152,160
122.5,120
121.5,120
110,111
119,123
119,119
137,138
112.5,108
116.5,115
138,132
123.5,122
125.5,122
136.5,136
116.5,121
119,119
112.5,110
135,122
102.5,103
108.5,106
155.5,153
123.5,125
121,119
139.5,147
131.5,125
135.5,126
119,115
112.5,108
138.5,134
153.5,137
114,112
114.5,114
158.5,147
123,125
94,91
116,116
123.5,124
99.5,101
130.5,128
127.5,124
119.5,121
112.5,113
151.5,137
161,151
136.5,131
112.5,108
155.5,148
119.5,120
125.5,125
109.5,109
111,110
137.5,129
124.5,125
120,119
131.5,128
122,122
147.5,148
111,106
130.5,125
120.5,123
158,149
107,107
123.5,125
108.5,109
84.5,86
122.5,120
106.5,107
131,125
138.5,136
143.5,136
121,122
121.5,122
126,123
119,123
103.5,107
114,112
119.5,120
115,105
119,119
141,137
121.5,121
124,125
117.5,120
114.5,111
105.5,102
143.5,138
117.5,116
134.5,133
146.5,146
118.5,111
119,117
135.5,136
119,120
122.5,126
137.5,133
120,119
120.5,121
141,138
116.5,124
137,132
96,93
113,118
122,121
117,121
120.5,120
130,127
125.5,123
97.5,98
122,123
125,124
144,127
136.5,130
108.5,103
116,119
112.5,114
121,119
118,121
119,118
123,121
132.5,127
132.5,134
92.5,89
123,122
159.5,155
137,136
118.5,121
109,111
99,97
105,101
118.5,114
133,124
134,132
119.5,120
130.5,124
98.5,99
154,160
116,111
117,115
144,141
122.5,122
118.5,119
121.5,121
111.5,116
120.5,121
120,120
122.5,125
122,124
118.5,119
123,113.5
138,135
140.5,145
133.5,130
108.5,106
124,124
119.5,122
104,104
133,126
140.5,145
123,116
139.5,134
140,136
134.5,133
121.5,119
114,109
159.5,149
125,126
138.5,129
135.5,137
120.5,119
122,122
121.5,121
168,163
134.5,127
134,134
160.5,147
138.5,135
162.5,160
106.5,108
122.5,123
113.5,103
140.5,142
154,142
118,114
134.5,130
149.5,139
120.5,122
111,106
144,131
122,121
119.5,120
121.5,120
135.5,133
122.5,123
120.5,116
121.5,120
103,98
130.5,133
120,123
129,127
109.5,103
116,116
107,107
115.5,116
115.5,120
159,155
126,119
140.5,136
122,120
126,124
117.5,112
122,122
123,122
137,134
152.5,143
130.5,124
122.5,123
123,122
118,110
148.5,145
136.5,137
125.5,125
112.5,113
119,115
133.5,129
112,108
133,130
119.5,120
135.5,134
107,104
121,122
133.75,127
118,120
106.5,108
111.5,112
119.25,119
117.5,117
111.5,107
117.5,123
173.5,175
166,157
151.5,150
123.5,122
121,122
147.5,137
117.75,115
135.5,135
108,107
134.5,131
122.5,121
125,125
134.5,136
113.5,112
103,100
128,124
111,103
113,120
160,136
132,131
131.75,126
98,101
121,119
135.5,133
126.5,124
118,116
130,134
119,118
126,128
128.5,126
107,108
135.5,127
117.5,117
95.5,97
127,124
152,141
135.5,127
126,124
124,124
158,155
128.5,126
108.5,107
132.5,125
153.5,138
145,136
119,110
128.25,125
159.5,155
123,124
118.5,119
109.5,103
150,138
161.5,157
137,128
134,127
122,122
135.5,121
114.5,108
122,112
146.25,143
135,136
113,114
132,126
153,145
104,103
98.5,97
116.5,108
122.5,129
120,119
120.5,115
154,141
137.5,131
157.5,155
137.5,132
117.5,116
121.5,122
99.5,97
136.5,132
138,130
117.5,118
118,118
131.5,137
112.5,107
112.5,107
105,98
123.5,125
113,109
142.5,139
119,120
107.5,103
133.5,130
122.5,121
116.5,109
114.5,110
122.5,127
125.5,123
137.5,134
116.5,115
119.5,119
121.5,121
121,121
109,112
119,117
112.5,115
159,151
145.5,136
122.5,122
124.5,122
161,161
109.5,107
122.5,125
122,123
131,130
113.5,109
110,110
124.5,123
148.5,139
121,115
127,123
134.5,136
146,149
133.5,131
130,124
123,122
112,106
147.5,138
105,103
147.5,136
153,141
142,134
144.5,144
127.5,126
129,121
133,127
120.5,118
121.5,123
148.5,140
163.5,161
106,108
135.5,136
118,117
110.5,108
132,130
142.5,137
168.5,161
158.5,157
141,137
119.5,119
100,101
114.5,117
126.5,134
130.5,123
122,120
137,137
119.5,118
136,133
118.5,114
137,125
131.5,126
120,122
136.5,137
104,103
165,150
113,115
107.5,104
114.5,109
132.5,122
133,124
120,119
156.5,152
137.5,128.5
116,112
134,131
121.5,122
132,135
122,121
123,125
104,97
154,147
118.5,105
118.5,117
122.5,113
99.5,100
121.5,126
92.5,93
121.5,126
106.5,104
138,124
134,132
124.5,126
119.5,124
129,125
131,128
140,136
112.5,111
115.5,119
123.5,126
147.5,139
121,118
117.5,119
117.5,116
133.5,137
145.5,143
127.5,124
130,125
123.5,122
126.5,124
112.5,115
114.5,113
151,137
162,148
124,125
118,118
139.5,129
169,163
114.5,113
124,127
150,140
128.5,123
118,121
121.5,121
119,117
129,121
134.5,127
122,120
114.5,109
119.5,119
126,126
135.5,130
119.5,117
136.5,130
121.5,119
121.5,123
122,122
113,111
126.5,125
114.5,120
135,139
106,103
128.5,121
125,128
120.5,120
119.5,121
132.5,126
118.5,113
122.5,125
133.5,137
121,132
122,121
120,120
123,126
127,131
107.5,111
100,103
123.5,122
92.5,89
131.5,131
134.5,132
148,137
119,114
118,118
100,103
136.5,135
132,130
95,103
147.5,150
146,131
132,127
133.5,131
137,128
141,136
110,111
137,128
127.5,128
130.5,127
139.5,133
149.5,153
134.5,130
125.5,126
120,120
129,125
111,111
161.5,161
122,121
139.5,136
160.5,158
116.5,117
105.5,103
127.5,126
160.5,142
130,132
130,126
154,148
103.5,102.5
137.5,152
113,110
115,112
123.5,122
104.5,111
100,100
105.5,109
115.5,119
127,127
130.5,124
117,111
126.5,123
114.5,117
118.5,119
121.5,119
144,142
119,122
116.5,115
125.5,123
138.5,129
152,134
118,111
123,126
120,115
115,119
120.5,120
120,120
113,114
121.5,114
116.5,116
120,120
91.5,96
162.5,158
122.5,124
121.5,122
126,125
130,127
130,132
137,126
122.5,123
131.5,128
119,122
143.5,137
116.5,118
129.75,123
122,123
122,130
113.5,110
116.5,117
123,122
116,111
109.5,116
132,132
135.5,129
118.5,117
123,122
158,149
135.5,136
154.5,145
129,126
125.5,123
120,120
109,105
132.5,128
122.5,122
96.5,97
118.5,117
124,124
128,123
125.5,128
116.5,108
122.5,123
118.5,120
148.5,144
121,121
119.5,120
153.5,148
97,100
103,100
121.5,126
148.5,136
126.5,119
134.75,129
120,120
112.5,113
98,102
111.5,106
137.5,132
121.5,125
120,120
159.5,162
158.5,139
143.5,142
119.5,119
129.5,132
112.5,105
108,109
129,124
126,126
157,153
119,116
104.5,104
130,125
100,98
122.5,123
138,136
118,120
129.5,124
136.5,134
150,140
119,118
154,156
106.5,103
130.5,122
119,117
125,125
133.5,137
123.5,125
137,134
121,118
109.5,104
133.5,130
113,113
149,142
137.5,133
133.5,126
129,130
131,119
101,100
140,140
117.5,110
122.5,121
122.5,119
128.5,128
133,122
122.5,122
102.5,106
155.5,138
159.5,152
119.5,119
134.5,134
126,124
174.5,147
163.5,149
120.5,119
146.5,136
124,120
130,124
113.5,109
126.5,125
129,132
137.5,137
119,115
132.5,131
122.5,115
145,135
97.5,97
160,151
139.5,131
126.5,127
133.25,134
114.5,113
106.5,110
126.5,126
117.5,113
108.5,115
132,132
112.5,120
106,107
141.5,144
126,122
113,113
125,131
135.5,137
119.5,120
108.5,112.5
111.5,111
114.5,113
114.5,112
148,149
107.5,106
150,138
135.5,131
142,136
145.5,140
131.5,126
120,118
123.5,122
118.5,119
137,123
161.5,154
84.5,86
140,142
127,121
159.5,153
123.5,121
123.5,123
133.5,132
123.5,126
97.25,98
148,146
126,127
130,126
152,129
153.5,143
149.5,145
118,117
105,98
85,89
122,112
116.5,116
105.5,106
109,109
115.5,110
123.5,127
121,116
132.5,126
122.5,123
119.5,119
117,117
119,122
134.5,128
117,106
129.5,126
113.5,116
123.5,129
132,128
119,120
159.75,136
118,115
109,119
119.5,124
122.5,125
125.5,125
119.25,118
127,124
123,123
152.5,137
134.5,127
134,138
147.5,139
124,125
121.5,121
111,104
118,120
160.5,160
121.5,124
116.5,112
130.5,138
112.5,110
120,122
133.5,128.5
116.5,121
125.5,121
101,103
131.5,130
124,124
131,127
149.5,134
119,120
132.5,135
156,146
124,123
156,145
128.5,121
131,130
121.5,122
114.5,110
138.5,129
123,130
119,122
122,121
121.5,120
123.5,115
144.5,148
148.5,140
122,121
164,160
123.5,124
132.5,127
105.5,103
121,120
122,121
124.5,126
113,104
108.5,103
105.5,114
91.5,94
123,123
114.5,103
131.5,127
106.5,103
120,120
134,127
132.5,127
137.5,135
118.5,120
164,161
122,124
114.5,115
130.5,128
137.5,125
119.5,111
118,114.5
131,134
160.5,147.5
136.5,137
165.5,152
109.5,106
119,119
132.5,127
145,132
119,122
118,119
139.5,124
121,124
117.5,118
111.5,104
122.5,122
113.5,115
126.5,131
153,147
115,120
130.5,128
87.5,94
122,123
116,120
119,119
161,160
122.5,121
129,124
131.5,130
132.5,126
123,126
122,122
113.5,106
123,122
119.5,121
123,124
131,124
135.5,139
124.5,125
111.5,119
118.5,109
161,154
117.5,119
102.5,101
153.5,161
126.5,128
101,102
129.5,125
100,101
118,118
122,120
119,119
124.5,126
108.5,107
169.5,166
132.5,128
161.5,149
122.5,123
118,119
130,132
120.5,122
143,137
99.5,98
119,119
125,124
135,131
123,126
117.5,120
134.5,126
122,119
119.5,120
119.5,116
152.5,134
147.5,134
124.5,123
122,119
122,121
143,141
135.5,136
125.5,123
129.5,129
113,105
106.5,106
130.5,122
117.5,115
129.5,123
117.5,120
124,126
125,123
121,118
124,124
102,103
128.5,124
153,155
111.5,107
125.5,123
135,132
111,111
154.5,149
152.5,137
124,126
134.5,133
119,119
125,131
120,119
152,139
147.5,131
111.5,109
152.5,142
123,124
127,126
134,126
110.5,103
136,139
114.5,109
114.5,115
125.5,122
114.5,115
130.5,123
123.5,120
143.5,138
105,103
108,108
131,124
122.5,113
123.5,123
116.5,112
120,116
122.5,123
120.5,117
101,99
120.5,119
133.5,124
102.5,104
103.5,108
126,108
121.5,121
125.5,127
117.5,121
113.5,115
116.5,117
107.5,104
111.5,105
134.5,134
122,124
153.5,137
117.5,113
116.5,120
136.5,134
121.5,122
101.75,101
128.5,129
129,130
116,112
103.5,104
119,113
124.5,123
103,103
137,129
117.5,119
133.5,132
133.5,124
91,87
142,134
123.5,127
107,105
121.5,124
90.5,90
138.5,126
113,118
169.5,161
105.5,103
132.5,127
119,119
116.5,120
119,115
107,106
128,123
120,123
120.5,116
114,114
126,122
122,122
113,113
112.75,106.5
129.5,127
120,124
106,104
119.5,118
128,128
116,114
107,104
119,120
156.5,148
113.5,108
140,137
114,108
125.5,123
123.5,122
124,121
122,123
139.5,134
133.5,124
125,124
122.5,120
124.5,128
136,136
130.5,127
122.5,122
126,121
133,129
168,162
128,126
137.5,134
125.5,125
124.5,126
135.5,135
121.5,122
113.5,108
121.5,121
151,142
129.5,122
113.5,115
96,94
130,127
129,119
117.5,113
153.5,153
135.5,131
120,121
162,154
100,101
120,115
162.5,160
135.5,137
127,124
120.5,121
118.5,116
132.5,128
136,127
106,104
116,109
140.5,134
124,121
84,85
122.5,125
161.5,160
106.5,101
152,137
133,133
111.5,113
119.5,118
128,124
135,127
119.5,119
156,161
110.5,116
122.5,119
112.5,115
142,137
125,125
147.5,137
112,107
119,125
124.5,123
119.5,121
114.5,108
132.5,137
122,119
136.5,130
136.5,138
121.5,122
121,123
121.5,121
134,128
122.5,123
162.5,159
122,123
119.5,121
135,127
126,120
123,122
117,115
157.5,149
143.5,135
99.5,102
100.5,101
126,123
110.5,114
165,161
139.5,137
132.5,128
156.5,145
113,113
135,120
122,123
134.5,131
108.5,108
124,126
131.25,130
121,119
119,114
91,91
123,125
118,119
123,122
121,120
135.5,126
106.5,103
126,123
122,121
135.5,137
114.5,108
137,127
148,139
142.5,139
134,129
128.5,124
113.5,116
143.5,135
118,116
136,131
155,145
92.5,93
146,140
131,127
120,121
134,136
114,115
119,121
119,121
123,125
136.5,139
129,127
139,136
122,122
132.5,131
132,129
116.5,117
145,139
122.5,122
153.5,140
115.5,116
111.5,116
128,124
131.5,130
168.5,162
134.5,125
137.5,126
116.5,112
137,135
128.5,129
130.5,127
131.5,128
108.5,103
121.5,109
89.5,86
162.5,160
125,127
116.5,103
122.5,119
143.5,137
145,136
145,142
111.5,113
99,101
125,126
120,119
156,145
131,125
127.5,123
116,125
106,103
121,123
119,122
139.5,138
129,123
153,145
146.5,134
119,120
141,137
123.5,121.5
102,102
120,119
106.5,108
129.5,126
120.5,119
124.5,123
123.5,124
132.5,124
110,106
122.5,121
117.5,122
121,127
119,119
123,124
114.5,119
113.5,107
138.5,133
109,106
158.5,143
121.5,125
122.5,130
178,166
113,110
116.5,110
154,156
137.5,134
124,124
112,112
157.5,153
95.5,94
121.5,119
137,132
111.5,112
120,117
116,109
126,121
133,130
106.5,116
123.5,120
144,141
127,125
122,122
118.5,117
136.5,134
135.5,132
145,140
159,153
113.5,115
132,123
117.5,112
117.5,120
129.5,124
109,107
119,122
105.5,106
106,103
148.5,145
118,113
134,131
111.5,109
152,135
120.5,122
111.5,112
108.5,112
140,124
167.5,162
122.5,119
153.5,148
121.5,123
146,134
131.5,124
169,164
141.5,135
131.5,124
117.5,116
116.5,113
144,137
117.5,120
130.5,126
122.5,124
109.5,106
121.5,121
144,134
132.5,109
123.5,120
112,107
112,105
104,103
153.5,137
95,92
129,123
134,131
122,120
123,120
138.5,137
121.5,118
101,100
145.5,137
125.5,124
153.5,155
121.5,120
148,144
109,114
133.5,125
120,121
120,122
132.5,129
119,118
121,121
134.5,126
122.5,123
134.5,137
136.5,133
133.5,125
161,148
99.5,99
110.5,109
100,100
118,119
133.5,123
97,103
120,122
160.5,159
106.5,103
117.5,115
150.5,144
102.75,106
118,121
105.5,99
131,129
127.5,124
119.5,116
111.5,110
130,127
120,120
118,119
125,128
130,125
149,146
123,123
153.5,145
119,120
122.5,121
107.5,103
92.5,95
116.5,111
122,120
135,133
135,127
114,109
147,139
126,133
122.5,126
136.5,125
134.5,129
135.5,129
114.5,115
131.5,126
163,148
141.5,135
120,115
169,165
147.5,140
126,125
135.5,129
124,124
137,141
105.5,105
114.5,116
132.5,125
132,124
117.5,118
123.5,121
110.5,111
122,120
129,128
116,118
124.5,125
120.5,121
130.5,123
92.5,92.5
118,118
94,88
132,129
112.5,119
107,107
142.5,139
122,126
101.5,98
122,123
120,116
124.5,126
137.5,137
142.5,139
124,117
123,120
111,112
122,120
119.5,116
97,95
117,111
145,138
137.5,132
113.5,114
120.5,121
155.5,139
130.5,123
122,121
135.5,126
135.5,127
116,114
135.5,130
143.5,134
131.25,128
139.5,139
135,128
159.5,160
121.5,119
168.5,167
101.5,105
116.5,121
124.5,123
124.5,124
130.5,142
132.5,127
142,138
108.5,108
158.5,147
117.5,117
119.5,122
107.5,98
134.5,128
173,165
120.5,120
123,125
129,126
136.5,139
131.5,128
122.5,122
146,136
119.5,120
124,125
155.5,152
131.5,131
149.5,143
118,119
122.5,121
118.5,116
130.5,130
116.5,115
119,121
123,119
128,127
117,113.5
165.5,161
134.5,124
120,122
134.5,131
137,131
124,122
135.5,127
123,123
114.5,115
138.5,143
153.5,138
141.5,143
125,125
143,136
112.5,111
119.5,120
111.5,114
112.5,106
151,148
132.25,126
121.5,120
135.5,135
134.5,129
118,117
101,103
139.5,137
114.5,116
158.5,158
114.5,113
136.5,136
107.5,106
120,122
130.5,131
144.5,145
109.5,106
122.5,125
119.5,122
133,138
147.5,140
137.5,136
116,116
122.5,115
121,113
111.5,114
119.5,102
127,126
139.5,136
136.5,131
119.5,120
106.5,108
117.5,114
155,147
123,124
117.5,114
100.5,104
116,111
132,127
164.5,162
135.5,134
116,101
109,106
93,103
122.5,115
112.5,106
151,145
159,140
139,136
119,121
145.5,140
114,108
129,124
117.5,115
118.5,119
118.5,120
119,118
118.5,111
130,125
119,115
150.5,152
122,124
138.5,132
132.5,124
149.5,138
138,145
122.5,125
120,116
122.5,123
113,113
160,143
110.5,103
124,124
127,126
116.5,117
121,120
107,109
115.5,120
145.5,137
133,134
154,152
147,142
125.5,125.5
119.5,116
105,104
122,120
118.5,117
142.5,138
124.5,130
125,125
146,136
135,124
122,120
119.75,119
129,135
122.5,122
136.5,132
142.5,133
121.5,123
128,132
121.5,121
134.5,128
117,117
123.5,127
120,120
143.5,130
160.5,156
117.5,117
108.5,109
156.5,159
118,121
112.5,116
122,120
142.5,136
132.5,127
115,112
132.5,134
142,142
103,102
123.75,123
141.5,139
116,110
114.5,117
101,101
149.5,148
113,115
135.5,123
142.5,149
123.5,120
119,120
135.25,126
122.5,121
120.5,120
120,120
123.5,128
132,133
153,141
115.5,115
107,102
117.5,116
112,112
148.5,144
137,141
156,155
129.5,126
153,147
113.5,114
118.5,115
133,132
135.5,126
114.5,110
147,141
121.5,123
121,120
161,149
127.5,132
150.5,149
126,123
111.5,113
134.5,134
136.5,137
122.5,116
106,106
114.5,113
153.5,146
126.5,125
121.5,115
118,118
116,113
117.5,114
112,107
124,125
133,130
125,124
144.5,136
122,120
145,135
112.5,108
145.5,138
121,122
119.5,115
115.5,113
114.5,107
122,120
119.5,119
120,116
132,130
111.5,110
112,115
119,117.5
118.5,119
126,124
121.5,124
134.5,131
118,115
160.5,147
111.5,108
119,118
123,115
122.5,120
122.75,113
148.5,137
97,98
121.5,120
110.5,112
112.5,108
117.5,121
131,130
158.5,159
100.5,108
123,125
116.5,112
110.5,109
117.5,116
116.5,120
135,136
112.5,107
126.5,125
130,131
135,131
136.5,134
118.25,117
99,98
126.5,125
117.5,118
125,125
135.5,134
147.5,139
115.5,109
119.5,119
122,123
131.5,123
166.5,163
122.5,121
126.5,125
100,108
124,123
119,118
123.25,114
126.5,127
120.5,124
98.5,105
120.5,121
121.5,119
147.5,146
156.5,145
155.5,146
122.5,121
132.5,127
118.5,119
119.5,115
129.5,124
121.5,122
107.5,109
125,128
120,115
111.5,113
119.5,119
122,120
117.5,116
122.5,119
107.5,114
114.5,111
126.5,128
125.5,127
110,114
160.5,159
105.5,103
108.5,107
110.5,118
122,119
142.5,133
120.5,114
120.5,121
116,113
122.5,130
121.5,119
131,132
121.5,120
118,122
122,123
119.5,119
119.5,116
122,123
119,122
154,147
124.5,123
124.5,124
131.5,131
117.5,120
116.5,118
103.5,103
112.5,113
113,119
129,116
121.5,128
112,112
120.5,121
118,114
132.5,134
134,122
124,125
163.5,145
107,103
116.5,110
160.5,148
133,126
108.5,103
119,121
124.5,123
119,120
117,115
122.5,130
110,109
128.5,124
136.5,133
101,101
119.5,120
119,111
138.5,122
111.5,113
121.5,122
164,146
131.5,127
123,124
134.25,133
121.5,122
122.5,123
133,124
119.5,118
119.5,122
152.5,141
159.5,158
112,114
122.5,124
124.5,123
117.5,112
139,136
102.5,104
124.5,123
132,133
102.5,105
103,108
129,126
136,124
107,104
122.5,120
152.5,151
132.5,127
132,126
126.5,122
135.5,133
144,137
134,128
154.5,140
104,108
113,112
131.5,125
163.5,162
138.5,138
104,103
120.5,120
131,127
160,148
112.5,110
120,121
118.5,119
145.5,140
114.5,114
121,121
120.5,123
125,125
118,122
92,88
150.5,137
128,120
109.5,108
118,108
132.5,127
163.5,150
134.5,129
107.5,107
112.5,122
114.5,110
124.5,125
120.5,122
129.5,127
105.5,109
141,136
124,121
98.5,99
152.5,143
139.5,136
122,121
119,120
100,101
130.5,133
120.5,125
125,126
122.5,122
116.5,119
102.5,101
110.5,104
119.5,120
136.5,139
126,121
159,150
108,106
130,127
118,121
114,112
117.5,118
140,126
131,137
173,163
122,125
173.5,166
120,120
123.5,125
159.5,136
132.5,131
116,109
149.5,137
123,115
99.5,94
145.5,139
135.5,132
118.5,119
109.5,102
119.5,115
112,101
120,118
132,129
114.5,115
118.5,120
117.5,111
112.5,107
116.5,119
126,127
117.5,120
113,114
121.5,122
97,99.5
114,118
122.5,122
147,136
126.5,123
122,118.5
129.5,130
128.5,123
112,106
103,102
132,125
126.5,124
147,141
121,121
125,125
134,127
143.5,131
131,123
105,108
154,148
119.5,114
126,124
103,103
118.5,118
119.5,109
103.5,106
148.5,140
104.5,102
109.5,109
127,136
133.5,141
126.5,126
112.5,107
143,136
120,119
121.5,121
127,125
149.5,141
102.5,103
122.5,121
113.5,102
121.5,121
132.5,126
86,89
136.5,134
103.5,101
95.5,98
121.5,121
116.5,112
124.5,124
123.5,126
97,94
115.5,110
120,103
153.5,136
146,139
158.5,157
121.5,119
108.5,112
126,126
122.5,120
118,109
121.5,124
129,126
103.5,97
113.5,104
133.5,133
120,119
123.5,125
119,120
110,114
104.5,98
132,127
116.5,110
138,149
121.5,121
110.5,110
122,124
108.5,106
160.5,145
87,86
118,110
134,131
136,138
118.5,124
136,143
118.5,122
121.5,121
114.5,119
130,125
138.5,138
102.5,100
134.5,128
118.5,117
133,117
119.5,127
139.5,140
115.5,109
132,128
130.5,123
133.5,124
133,132
118.5,119
112,110
123.5,126
121.75,122
135,126
120.5,119
165.5,160
140.5,134
119.5,120
92.5,94
124,120
120,118
129.5,124
106.5,104
141.5,142
124,124
156.75,143
107,105
112.5,111
100.5,101
119,116
139,134
133.5,132
132,124
116,119
119.5,115
135.5,128
134.5,134
88.5,87
160,155
146,146
108,107
168.5,160
119,116
122.5,119
135.5,125
151.5,150
112,107
118.5,119
145,137
120,122
137,133
114.5,117
151.5,141
118.5,115
127.5,127
103.75,101
118,111
151.5,150
134.5,127
141.5,136
150.5,143
135,134
138.5,138
145.5,142
129.5,130
93,90
127,124
122,122
156.5,149
119,121
123.5,123
127.5,127
113.5,107
125,122
107,106
116,113
129,121
125,124
117,117
117.5,117
117.5,119
105,105
118.5,119
107.5,100
169,163
123.5,123
115,121
141.5,134
116.25,119
117.5,111
117.5,121
122,122
123,122
131,124
110.5,111
122,120
120,119
112.5,114
124,126
103,104
131.5,127
121.5,122
102.5,106
105.5,107
123,124
109,109
89.5,93
144,155
142.5,138
112.5,107
108.5,103
115.5,113
125.5,123
118.5,116
116,114.5
124,122
117.5,118
126.5,121
107,101
104,114
130.5,130
118.5,113
130.5,131
110.5,107
146,145
133,126
139,136
118.5,112
121.5,123
115.5,102
106.5,109
116,106
137,130
114.5,111
114,112
123,120
110.5,106
139,134
118.5,114
130.5,122
117.5,114
146,144
148.5,143
148.5,143
158.5,149
136.5,130
122,118
128.75,123
101.5,100
152.5,136
133.5,132
143.5,142
117.5,110
110.5,111
106.5,102
118.5,121
154.5,152
121,119
156.5,141
133.5,134
136.5,135
118.5,119
119.5,118
107.5,105
117.5,118
92.5,103
135.5,131
161.5,161
123.5,124
122,125
101.5,102
101.5,102
148,144
149,136
169.5,160
125.5,125
103,105
111.5,114
130.5,123
135.5,127
107.5,106
118,117
152,150
106.5,108
142,132
117,114
121.5,122
121,122
137,127
119,119
124,128
133.5,131
120.5,115
100.5,101
141.5,131
111,109
131.5,126
122.5,121
118,118
155.5,143
121.5,122
121,123
118.5,119
120,126
110.5,111
111.5,109
117.5,109
144.5,133
122.5,123
127,127
115.5,118
114,116
120,123
138,136
118,119
132.5,137
139,135
110,108
145.5,139
145.5,142
157.5,159
119,122
138.5,137
135.5,127
